dt,base_sku_id,buy_uv,view_uv
20251126,SKU217,4680,1111973
20251130,SKU742,11412,1110705
20251031,SKU781,2463,1108549
20251028,SKU1068,6240,1107218
20251101,SKU1068,8374,1104301
20251130,SKU1807,2627,1103667
20251027,SKU1679,1478,1097898
20251028,SKU398,8046,1095996
20251028,SKU1463,1478,1094918
20251128,SKU781,1806,1094855
20251031,SKU1679,1888,1093396
20251128,SKU223,2217,1092636
20251124,SKU1068,8046,1091811
20251026,SKU1578,985,1079005
20251128,SKU211,3941,1078941
20251028,SKU211,7553,1072221
20251030,SKU1541,1478,1071650
20251125,SKU1068,7882,1069114
20251127,SKU53,1642,1068163
20251024,SKU1578,1149,1066388
20251124,SKU217,3530,1066261
20251031,SKU211,4680,1066134
20251126,SKU53,821,1064423
20251027,SKU781,2381,1063979
20251030,SKU1068,3530,1060555
20251127,SKU1807,2135,1057449
20251127,SKU158,3859,1057005
20251026,SKU398,7061,1056054
20251026,SKU1463,1724,1055800
20251028,SKU1679,2709,1053835
20251125,SKU217,3859,1052630
20251102,SKU1578,821,1051743
20251126,SKU1807,1724,1051743
20251103,SKU1578,1067,1051489
20251030,SKU1463,1806,1044578
20251030,SKU398,6404,1040838
20251125,SKU599,2627,1040267
20251130,SKU223,2709,1039633
20251030,SKU781,2627,1039316
20251127,SKU338,6075,1038112
20251127,SKU398,8538,1032469
20251029,SKU1068,3530,1031074
20251029,SKU398,6486,1028538
20251124,SKU1807,1888,1026192
20251026,SKU781,2381,1025432
20251028,SKU781,2299,1024227
20251027,SKU801,1642,1020803
20251126,SKU398,6896,1019092
20251030,SKU1679,1806,1016999
20251127,SKU223,2791,1015351
20251125,SKU1807,1560,1011547
20251029,SKU781,1724,1010596
20251124,SKU338,4269,1008884
20251127,SKU781,2217,1007997
20251124,SKU398,5090,1007806
20251126,SKU223,3038,1003242
20251130,SKU610,657,1000959
20251029,SKU211,3941,999121
20251030,SKU211,3612,996077
20251125,SKU338,3202,995570
20251125,SKU398,7389,995317
20251127,SKU211,4433,991513
20251126,SKU781,1232,988850
20251124,SKU158,2463,984539
20251027,SKU211,5583,983397
20251125,SKU528,13054,983207
20251125,SKU223,1806,971161
20251028,SKU1578,1314,969957
20251126,SKU211,2956,965265
20251128,SKU742,7307,964758
20251124,SKU781,1642,960573
20251029,SKU1679,903,957277
20251125,SKU781,1396,957086
20251029,SKU1541,1724,950429
20251031,SKU2425,1478,941997
20251125,SKU211,3941,940476
20251031,SKU1578,1232,939651
20251126,SKU338,4187,927986
20251026,SKU1679,1642,921899
20251103,SKU2425,2874,914291
20251023,SKU1258,5911,914038
20251029,SKU1578,821,910424
20251123,SKU158,2709,904845
20251123,SKU1068,7389,902626
20251125,SKU158,2709,900914
20251026,SKU1068,5993,898695
20251128,SKU610,821,882148
20250920,SKU236,21510,873145
20251123,SKU217,2874,870228
20251030,SKU1578,657,866805
20251123,SKU398,6404,860021
20251124,SKU211,3859,847087
20251026,SKU801,1478,837641
20251124,SKU53,1149,837197
20251130,SKU53,903,834407
20251130,SKU1679,2299,831111
20251123,SKU338,4598,824644
20251026,SKU211,6404,818494
20251102,SKU2975,410,816972
20251123,SKU1679,1232,807653
20251102,SKU610,3366,793641
20251027,SKU2425,1067,780517
20251026,SKU599,1232,774494
20251127,SKU742,8456,773100
20251103,SKU53,1724,766569
20250923,SKU236,15517,765492
20251123,SKU781,821,761688
20250920,SKU1393,3694,759342
20251023,SKU197,1396,757503
20251123,SKU1807,1478,751987
20250922,SKU236,15763,750212
20251026,SKU2425,1232,749578
20251126,SKU742,6568,739878
20250920,SKU338,9852,727705
20251024,SKU1541,1642,721999
20251027,SKU610,3448,720731
20251017,SKU1627,2627,717751
20251103,SKU610,1560,713060
20251026,SKU610,2545,707417
20251101,SKU53,2874,698288
20250920,SKU1584,3530,698224
20250920,SKU200,10098,690553
20251023,SKU1578,739,690426
20250920,SKU1823,6568,689792
20251123,SKU1933,739,687446
20251017,SKU1623,2791,686685
20250923,SKU1097,3941,679648
20251025,SKU1257,2381,676098
20251003,SKU610,5254,672420
20251102,SKU53,1642,670138
20251123,SKU504,985,665637
20251023,SKU1463,1478,664749
20251023,SKU2753,410,655873
20250920,SKU1123,2463,653527
20250919,SKU236,17323,635522
20250923,SKU338,3448,635458
20251017,SKU988,2299,634380
20251023,SKU1541,1232,627597
20250922,SKU338,2874,625251
20250921,SKU236,16748,623539
20250915,SKU236,12726,621257
20251103,SKU1257,1724,620686
20251030,SKU2425,821,620686
20250922,SKU1097,2135,618721
20250906,SKU142,9195,613332
20251128,SKU1679,2627,607499
20251108,SKU80,14696,604012
20251129,SKU359,14203,603061
20251025,SKU119,1149,602617
20250916,SKU236,13464,596594
20251024,SKU5580,246,594375
20250918,SKU236,12972,593551
20251003,SKU1541,2135,589683
20250921,SKU1717,107961,587591
20251004,SKU1022,5501,582773
20250923,SKU1123,2709,582456
20251031,SKU53,1642,580427
20251129,SKU1679,2791,579286
20251004,SKU104,1888,577954
20250923,SKU1393,2791,575735
20251101,SKU359,10919,575609
20251004,SKU1463,4351,574087
20251003,SKU1022,4105,573326
20251027,SKU599,1642,571488
20251017,SKU3362,821,570473
20251130,SKU791,985,569776
20251102,SKU1823,5090,568825
20251108,SKU359,9606,563372
20250906,SKU200,9688,560583
20251004,SKU2066,2463,558808
20250913,SKU525,9359,558744
20250906,SKU366,15435,553545
20251025,SKU1123,3859,551897
20251115,SKU528,16009,551517
20251003,SKU1578,2709,548790
20250923,SKU1823,4516,548347
20250922,SKU1823,3530,547142
20250919,SKU200,9688,545303
20251130,SKU359,11166,543655
20250906,SKU718,6896,543148
20250923,SKU1802,1232,543148
20251125,SKU615,2052,542197
20251115,SKU200,9359,541436
20251101,SKU200,8949,537886
20250924,SKU236,12233,532306
20251123,SKU211,3038,531482
20251004,SKU1578,1396,530912
20250906,SKU525,10509,527361
20251025,SKU359,10755,525649
20250919,SKU1823,4926,525523
20250906,SKU1123,3366,524762
20251103,SKU359,10016,522733
20250905,SKU142,8292,521592
20250927,SKU3230,2956,521402
20251101,SKU528,15271,520007
20251005,SKU1022,3777,519500
20251109,SKU80,12315,518802
20251025,SKU236,18719,517978
20250923,SKU200,7964,515569
20250921,SKU1823,5911,515315
20250919,SKU1123,3284,514998
20251024,SKU2581,246,513794
20251023,SKU119,821,512018
20250906,SKU491,5993,511131
20250922,SKU1393,2381,511004
20251124,SKU615,1560,510750
20251104,SKU1258,4023,509482
20250920,SKU3939,657,508848
20250913,SKU200,8949,508531
20251003,SKU1463,3366,507200
20251124,SKU1190,4105,506756
20251004,SKU3223,1560,506439
20251102,SKU359,9442,505805
20251025,SKU80,9934,504157
20250920,SKU231,9359,503776
20251005,SKU104,903,503142
20250920,SKU206,17898,502825
20251025,SKU2850,1232,500353
20250916,SKU338,3694,499782
20250908,SKU142,5911,499148
20251114,SKU359,12315,498895
20251025,SKU200,9442,498197
20251030,SKU53,1478,498070
20250913,SKU142,9277,497056
20251005,SKU1463,3120,495598
20251101,SKU155,8620,495534
20251115,SKU103,4680,494710
20251115,SKU1258,8210,493696
20250919,SKU1393,3530,493506
20250913,SKU671,6486,493379
20250909,SKU142,7143,492491
20251115,SKU236,25615,491857
20251115,SKU269,11166,490970
20251031,SKU359,13629,490399
20251115,SKU1123,3120,488624
20250921,SKU200,8949,487926
20251122,SKU528,14614,486405
20250913,SKU1123,4187,486088
20250922,SKU200,7307,485581
20251003,SKU2066,1806,485581
20251126,SKU615,1067,485200
20250920,SKU23,11001,484439
20250923,SKU1584,2545,484313
20251129,SKU200,10755,483362
20251114,SKU528,12233,482284
20251110,SKU80,11904,482030
20251111,SKU80,12315,481840
20251128,SKU359,13136,481713
20251101,SKU231,7882,479748
20251115,SKU231,7635,479558
20250923,SKU23,7799,479558
20250927,SKU1123,4023,479494
20250921,SKU1123,2627,479114
20250904,SKU142,8210,478987
20251102,SKU200,5583,477529
20250915,SKU338,5829,477275
20251114,SKU200,9934,477148
20250907,SKU142,7225,476895
20250921,SKU338,5172,476768
20251129,SKU269,13300,476388
20250919,SKU1584,2135,475817
20251129,SKU228,11330,475437
20251005,SKU1578,739,474739
20251005,SKU2066,1396,474549
20250905,SKU366,12479,473978
20251104,SKU398,6075,473535
20250907,SKU366,8785,473091
20251115,SKU359,9031,472647
20251107,SKU80,13464,472457
20251024,SKU236,18801,472267
20251027,SKU80,10591,471569
20251006,SKU1022,2381,470872
20251101,SKU236,25369,470808
20251002,SKU610,4187,470238
20251108,SKU269,13300,467258
20251107,SKU359,13054,466814
20251031,SKU80,12397,466370
20251109,SKU359,8949,464659
20251108,SKU200,9277,464532
20251103,SKU200,7635,464025
20251127,SKU1907,493,463961
20250920,SKU951,4844,463898
20251102,SKU528,12561,463137
20251018,SKU1627,3038,462376
20251001,SKU610,5419,459460
20251114,SKU103,6404,459396
20250922,SKU1717,60179,459206
20250923,SKU330,6404,458953
20251102,SKU1257,1149,458953
20250927,SKU1578,1232,457938
20250919,SKU338,4187,457938
20251129,SKU236,21921,457875
20251024,SKU80,9524,457241
20251115,SKU155,7061,457241
20250905,SKU525,11412,456924
20251024,SKU1123,4105,456290
20251028,SKU80,11084,456100
20251121,SKU528,12726,455656
20250905,SKU1123,2791,455275
20250915,SKU184,5254,454007
20251004,SKU566,8128,453373
20251101,SKU269,10919,452676
20251112,SKU80,9770,452549
20251127,SKU359,12233,452549
20250913,SKU359,7882,452232
20250905,SKU718,4433,451788
20251030,SKU359,11904,450774
20251115,SKU742,8785,450330
20250918,SKU338,3202,450140
20250905,SKU200,9852,449760
20251114,SKU1123,3612,449126
20250924,SKU1123,4187,448238
20250927,SKU104,1478,447984
20250927,SKU1022,2956,447541
20250903,SKU142,6814,447224
20251111,SKU528,11576,446907
20251123,SKU528,13629,446463
20250912,SKU525,9359,446019
20251025,SKU231,7389,446019
20251113,SKU359,11412,445892
20250913,SKU184,7882,445702
20251027,SKU359,10345,445639
20251114,SKU1258,7799,445448
20251101,SKU489,9688,445131
20250906,SKU1823,5008,445068
20251108,SKU1123,3284,445068
20251006,SKU1463,2874,444688
20251103,SKU1823,4762,444561
20250908,SKU491,4598,444054
20250913,SKU231,6650,443990
20250921,SKU206,14367,443863
20250912,SKU200,9113,443420
20251112,SKU528,13300,443229
20251101,SKU228,9359,443166
20250906,SKU1330,7389,442532
20250927,SKU1541,2709,442215
20251113,SKU528,9770,442088
20251101,SKU1123,2545,441708
20251112,SKU359,8620,441454
20250922,SKU330,5829,441327
20251024,SKU359,11248,441137
20250918,SKU23,6732,440757
20251124,SKU528,14367,440123
20250918,SKU200,8128,439933
20251001,SKU1022,3366,439742
20251027,SKU1257,985,439552
20250918,SKU1393,1888,439552
20251102,SKU231,6158,438728
20251120,SKU528,12233,437016
20250916,SKU1823,3448,436953
20250902,SKU366,10180,436826
20251028,SKU200,7553,436446
20251031,SKU1123,3120,436446
20251027,SKU200,8292,436129
20251116,SKU528,12233,435304
20250901,SKU366,12233,434670
20250908,SKU366,10837,434670
20251025,SKU103,4598,434353
20250913,SKU1020,6404,433402
20251130,SKU200,7061,433276
20250916,SKU2156,903,432959
20251007,SKU1022,3612,432261
20251117,SKU528,11001,431754
20250908,SKU525,7143,431627
20251122,SKU138,10919,431247
20250917,SKU200,7717,431183
20251024,SKU1068,6404,430042
20251028,SKU359,9031,429789
20251006,SKU104,821,429725
20251004,SKU829,8620,429598
20251101,SKU199,6732,429472
20251119,SKU528,12726,429091
20251129,SKU80,13218,428521
20251102,SKU155,7143,428204
20251126,SKU359,11904,427887
20251130,SKU269,9442,427696
20250915,SKU1823,3530,427506
20251110,SKU359,7389,426428
20251027,SKU236,15353,426365
20250915,SKU1330,5829,426302
20251103,SKU528,11987,425794
20250924,SKU1393,2217,425541
20251025,SKU73,7061,424843
20251023,SKU1123,3284,424780
20251101,SKU610,3366,424463
20250903,SKU366,10345,424400
20250913,SKU160,16092,424146
20250904,SKU1123,3448,423132
20251115,SKU829,7964,423068
20251114,SKU236,25205,423005
20251123,SKU1841,575,422751
20251111,SKU359,7635,422371
20251026,SKU1123,3202,422307
20251101,SKU1100,4926,422244
20251110,SKU528,13464,421420
20251027,SKU1123,2709,420913
20250915,SKU1197,6075,420532
20251030,SKU80,9934,420532
20251018,SKU1623,2217,420469
20250915,SKU525,9606,419835
20251029,SKU80,9606,419708
20250918,SKU1823,4680,419708
20251114,SKU269,9031,419518
20250901,SKU525,9770,419328
20251122,SKU398,8456,419011
20251101,SKU829,9524,418757
20251001,SKU3230,1642,418567
20251130,SKU236,19704,418503
20251026,SKU80,8538,418313
20250911,SKU525,10098,418250
20250905,SKU491,3612,418123
20250913,SKU428,4762,417996
20250918,SKU1802,2135,417679
20250921,SKU23,7882,417235
20251104,SKU359,6814,417172
20251004,SKU338,10262,416855
20251130,SKU228,7553,416728
20251129,SKU73,9359,416475
20250909,SKU366,9277,416411
20251103,SKU269,8046,416411
20251108,SKU231,7635,416348
20251001,SKU206,15271,416221
20250920,SKU269,11904,415967
20250904,SKU525,8867,414699
20251114,SKU231,6322,414446
20250907,SKU491,4351,414256
20250928,SKU3230,3448,413875
20251108,SKU2275,2299,413812
20251108,SKU73,7964,413748
20251115,SKU73,9606,413748
20250924,SKU200,7964,413431
20251018,SKU549,2709,413305
20250920,SKU1276,410,413051
20251026,SKU359,8620,412988
20251004,SKU236,17652,412861
20251031,SKU200,9770,412734
20250920,SKU1258,6732,412734
20250926,SKU1123,2217,412417
20251025,SKU829,9113,411403
20251115,SKU23,8620,411149
20251105,SKU359,8210,411149
20250908,SKU200,8456,410452
20251123,SKU615,739,410388
20250920,SKU1197,8620,410135
20251025,SKU155,8128,410008
20251024,SKU200,8374,409818
20251102,SKU489,8374,409247
20251114,SKU155,8620,409247
20251116,SKU80,10673,409184
20251108,SKU236,25040,408803
20250911,SKU1123,3366,408676
20251001,SKU1541,2217,408486
20250909,SKU491,5008,408233
20251102,SKU269,8785,408233
20251101,SKU1823,6404,408106
20250915,SKU200,6814,407599
20250911,SKU200,8785,407599
20251003,SKU566,6486,407535
20251111,SKU269,8456,406901
20251129,SKU566,12315,406648
20250926,SKU3230,2545,406521
20250913,SKU1823,5419,406457
20250915,SKU155,5254,406204
20251024,SKU231,7307,405633
20250914,SKU525,7799,405443
20251004,SKU346,7061,405316
20250904,SKU200,8046,405316
20251129,SKU671,7307,405316
20251105,SKU80,11740,405189
20250925,SKU1123,1970,405189
20251025,SKU671,5008,404872
20251004,SKU206,16502,404872
20251023,SKU80,8785,404809
20251101,SKU41,4516,404619
20251004,SKU41,4926,404555
20250913,SKU155,6486,404492
20250920,SKU199,6404,404429
20251025,SKU228,5665,404238
20251121,SKU138,7882,404175
20250913,SKU377,7799,404112
20250917,SKU1823,2381,404048
20251116,SKU200,8785,403858
20251028,SKU236,18144,403795
20250927,SKU1330,7225,403795
20251006,SKU2066,1478,403668
20250906,SKU160,12397,403414
20251112,SKU269,8785,402844
20250930,SKU610,4598,402717
20251031,SKU2975,903,402590
20251118,SKU528,11658,402590
20250907,SKU200,7389,402273
20251101,SKU184,6568,402083
20251004,SKU1456,2956,402083
20250910,SKU525,11248,402083
20251128,SKU200,10262,401702
20251028,SKU1123,2874,401702
20251029,SKU359,9442,401512
20250913,SKU566,8210,401322
20251007,SKU1463,4105,401259
20250922,SKU1584,2545,401195
20250916,SKU184,6404,401068
20250906,SKU184,5993,401005
20251027,SKU1823,3530,400434
20251108,SKU155,8785,400434
20251003,SKU2753,1478,400371
20251103,SKU228,7553,400308
20250908,SKU718,2956,400308
20250921,SKU231,7553,400244
20250908,SKU1823,4351,399800
20250924,SKU1097,2135,399547
20251025,SKU489,8374,399420
20250919,SKU231,8785,399293
20250924,SKU338,2299,399103
20250907,SKU525,9195,399040
20250913,SKU29,6732,398913
20251024,SKU103,4926,398659
20250913,SKU489,7143,398532
20250913,SKU236,17241,398025
20251028,SKU610,2463,397645
20251113,SKU200,8785,397645
20250920,SKU359,8128,397391
20251120,SKU138,8210,397201
20250913,SKU1104,4023,396947
20250909,SKU1823,3777,396694
20251023,SKU200,6896,396630
20251102,SKU228,6486,396567
20250920,SKU330,11166,396567
20250927,SKU610,4351,396567
20250922,SKU206,11904,396060
20251118,SKU1823,3777,395996
20250915,SKU160,10262,395806
20251025,SKU199,6240,395679
20251029,SKU801,1232,395553
20251023,SKU902,1314,395489
20250907,SKU1823,2791,394792
20251107,SKU269,9688,394665
20251115,SKU330,11330,394665
20250927,SKU206,13464,394602
20251029,SKU200,8292,394475
20251031,SKU228,8128,394348
20250909,SKU1123,4351,394094
20251128,SKU269,9524,393904
20250916,SKU200,7061,393397
20251026,SKU236,17323,392509
20251030,SKU1257,1149,392256
20251103,SKU155,6650,392256
20251101,SKU1041,5993,392129
20251115,SKU211,10673,392002
20251109,SKU269,9606,391939
20250906,SKU155,8128,391939
20250908,SKU1123,4105,391622
20250913,SKU211,6240,391558
20251103,SKU231,5172,391368
20251114,SKU742,5008,390861
20250904,SKU718,2545,390481
20251024,SKU398,6568,390227
20251115,SKU228,6814,389910
20251104,SKU200,5419,389339
20251023,SKU236,14367,389149
20251102,SKU199,7717,389086
20250906,SKU1048,7882,388959
20250901,SKU200,7225,388896
20251106,SKU359,10591,388832
20250913,SKU1258,8538,388198
20251106,SKU80,12561,387945
20250916,SKU525,5993,387881
20251122,SKU269,9852,387754
20251128,SKU228,8210,387691
20250906,SKU1258,5911,387628
20250904,SKU491,3284,387184
20250902,SKU937,2299,387120
20251028,SKU1257,1642,387120
20251030,SKU1123,3284,386994
20250920,SKU160,15517,386867
20251004,SKU85,5501,386740
20251118,SKU138,9031,386677
20251107,SKU200,10591,386613
20251021,SKU200,6650,386486
20250913,SKU103,3694,386233
20251129,SKU155,8949,386106
20251108,SKU228,6978,385979
20251102,SKU829,6158,385979
20250920,SKU671,6650,385726
20251006,SKU566,6075,385599
20250930,SKU1330,8210,385345
20251130,SKU671,4926,384901
20250906,SKU359,5993,384584
20251110,SKU200,5665,384458
20251025,SKU330,9359,384267
20251004,SKU1171,4023,383887
20251018,SKU236,17816,383380
20251018,SKU988,2299,383380
20250905,SKU157,6814,383316
20250920,SKU829,7553,383253
20251115,SKU80,9852,383253
20251030,SKU200,9277,383253
20250909,SKU200,7635,383063
20251004,SKU260,1560,382999
20251122,SKU80,12069,382936
20250927,SKU269,11987,382809
20250913,SKU1330,5747,382492
20250923,SKU231,7061,382175
20250907,SKU1123,2545,382112
20250906,SKU671,5993,382112
20251011,SKU1456,3448,382048
20250923,SKU206,12479,382048
20251104,SKU228,6650,381922
20250921,SKU330,7553,381858
20250920,SKU139,5993,381605
20250901,SKU1123,2791,381288
20251023,SKU359,10591,381161
20251022,SKU200,6404,381161
20251114,SKU73,5501,380971
20250907,SKU718,3859,380907
20251026,SKU200,7717,380654
20251031,SKU236,16420,380463
20251127,SKU200,10591,380400
20250906,SKU489,7553,380210
20250924,SKU23,5254,380210
20251107,SKU228,6650,379829
20251122,SKU73,6814,379703
20251024,SKU155,8456,379512
20250913,SKU330,8949,379259
20251115,SKU1068,8867,379259
20251101,SKU2850,2381,379195
20251122,SKU228,6568,379195
20250930,SKU269,9934,378878
20250914,SKU160,10262,378752
20250921,SKU1393,2709,378688
20251116,SKU269,10262,378561
20250928,SKU1123,1314,378561
20251004,SKU80,8374,378561
20251110,SKU269,9359,378435
20250927,SKU727,4433,378371
20251130,SKU73,6486,378054
20250906,SKU428,6404,377864
20251117,SKU269,7635,377801
20250915,SKU142,6158,377674
20250913,SKU1315,5336,377610
20250909,SKU525,13793,377484
20251025,SKU610,3859,376913
20251030,SKU3068,1560,376850
20251117,SKU1823,2627,376533
20251022,SKU269,8210,376469
20251027,SKU53,1149,376469
20250920,SKU29,8785,376469
20250910,SKU200,6486,375962
20250927,SKU200,7799,375518
20250913,SKU180,7225,375455
20250929,SKU1330,8374,375455
20251101,SKU742,6322,375201
20251004,SKU1623,4187,375201
20250924,SKU1823,4762,375201
20250902,SKU1123,2874,375201
20250930,SKU3230,2381,375138
20251130,SKU155,7307,375138
20250906,SKU222,7799,375074
20251130,SKU566,8620,374440
20251129,SKU206,15024,374440
20251116,SKU236,22660,374250
20250909,SKU160,13957,373806
20250907,SKU160,11987,373616
20251114,SKU80,10098,373616
20251109,SKU200,8620,373426
20251104,SKU599,2463,373299
20251116,SKU359,7717,373299
20251107,SKU1823,5583,373236
20251116,SKU1123,2791,372792
20251025,SKU3068,1970,372602
20250914,SKU1823,4433,372285
20251113,SKU103,5336,371714
20250906,SKU80,8949,371587
20250905,SKU1330,7389,371461
20250927,SKU23,7553,371397
20251023,SKU330,5008,371334
20250912,SKU142,10262,371270
20251119,SKU1823,2627,371080
20251102,SKU236,14450,371080
20251101,SKU73,4926,371017
20251111,SKU1123,2627,370890
20251104,SKU269,8785,370890
20250917,SKU236,10509,370827
20250906,SKU103,4598,370763
20250913,SKU269,10098,370700
20251002,SKU1022,2135,370700
20251001,SKU269,10180,370510
20251025,SKU160,11248,369749
20251104,SKU211,4023,369685
20251027,SKU1610,410,369622
20251108,SKU944,5993,369368
20251101,SKU671,6568,369178
20250911,SKU160,13054,369115
20250914,SKU200,7553,368925
20251102,SKU41,4680,368481
20250929,SKU1022,2463,368417
20251115,SKU489,7635,368417
20251031,SKU231,7882,368354
20250927,SKU2581,575,368354
20251116,SKU155,6650,368164
20251103,SKU1123,2627,368164
20250920,SKU446,6240,368037
20251105,SKU269,10591,367974
20251123,SKU269,9113,367974
20250920,SKU433,6486,367910
20251012,SKU1456,4023,367910
20250919,SKU1802,2874,367910
20251127,SKU269,7964,367783
20251024,SKU489,10755,367657
20250905,SKU2213,8785,367657
20251007,SKU80,8620,367530
20251025,SKU1041,5747,367530
20251027,SKU489,7882,367403
20251004,SKU988,2791,367276
20250920,SKU211,8703,367276
20250925,SKU200,6240,367213
20251024,SKU829,4105,366959
20251111,SKU200,7471,366959
20251114,SKU829,3777,366832
20251119,SKU138,8210,366706
20250919,SKU269,10016,366706
20250919,SKU23,9524,366642
20251004,SKU1627,2052,366325
20250913,SKU1668,6732,366262
20251108,SKU1100,5501,366135
20251117,SKU236,21674,366072
20251111,SKU73,7307,366072
20250920,SKU1621,10755,365945
20251128,SKU236,18390,365881
20251004,SKU1330,5911,365881
20251102,SKU184,6404,365691
20251028,SKU3068,821,365057
20251121,SKU228,7389,364930
20251024,SKU199,4516,364867
20250922,SKU23,5829,364867
20250906,SKU566,6568,364804
20250913,SKU222,7882,364677
20251103,SKU199,6322,364550
20251113,SKU1123,2463,364487
20250912,SKU160,14285,364043
20250903,SKU1123,3284,363853
20251125,SKU228,7389,363536
20251109,SKU1123,2545,363536
20251122,SKU359,10098,363472
20251116,SKU742,7061,363282
20250921,SKU1802,2791,363282
20251003,SKU236,12561,363219
20251031,SKU489,8210,363092
20250922,SKU231,7799,362965
20250905,SKU160,13136,362965
20251108,SKU489,8785,362775
20250930,SKU206,13300,362711
20250913,SKU2055,2709,362394
20251108,SKU528,13629,362268
20251024,SKU228,4680,362141
20250926,SKU1022,1642,362141
20250920,SKU155,8374,362077
20250925,SKU1541,1724,362077
20251003,SKU3223,1478,362077
20251025,SKU1610,575,362014
20250921,SKU269,10180,362014
20251121,SKU80,11576,361951
20250925,SKU3230,2217,361760
20251029,SKU1123,2217,361697
20251002,SKU206,12233,361634
20251127,SKU228,8292,361634
20251112,SKU1123,2709,361634
20251113,SKU155,9359,361634
20251004,SKU1914,1970,361570
20251027,SKU231,6075,361380
20251101,SKU3068,1560,361380
20251109,SKU231,5911,361253
20251027,SKU228,5008,361190
20251005,SKU566,6158,361126
20251102,SKU1123,2052,361126
20251006,SKU338,3448,361000
20250929,SKU269,10837,360936
20251028,SKU228,3941,360809
20250906,SKU1315,6978,360809
20251115,SKU184,5419,360809
20250916,SKU155,6896,360683
20251121,SKU398,5911,360619
20251105,SKU200,7635,360619
20251129,SKU1258,7553,360556
20251023,SKU155,6896,360239
20251108,SKU199,6978,360175
20251115,SKU712,5090,360049
20250922,SKU269,9606,359985
20250920,SKU428,3859,359795
20251014,SKU1456,2545,359732
20251003,SKU346,5747,359668
20250917,SKU231,5665,359605
20251001,SKU3223,1314,359415
20251031,SKU1041,6732,359288
20250914,SKU142,7307,359288
20251102,SKU1100,3366,359034
20250905,SKU1823,5336,359034
20250929,SKU206,13875,358971
20250912,SKU231,6240,358971
20250912,SKU184,5911,358844
20251105,SKU1823,3941,358273
20251103,SKU489,8620,358210
20251124,SKU269,10180,357703
